id	Sex	TrueID	BestAgeLastCapture2	Alive	FirstPL	LastPL	EstAgePL	BestAgeFirstCapture2	FirstCapYear2	LastCapYear2
S494	Female	102091000030000	6.4	N	152.5	152.5	10.1941049	6.4	2014	2014
S87	Male	208000000081200	10.8	N	152.7	153.2	10.77422872	10.8	2014	2014
S1188	Male	201020300030000	10.9	N	153	153	10.93562949	11	2005	2005
S1219	Female	401110000011100	7	N	153	153	10.29746615	7	2007	2007
S1228	Female	102090000010300	8.7	N	153	153	10.29746615	8.7	2003	2003
S131	Female	110120000080900	14	Y	153	160	10.29746615	7	2011	2018
S2081	Female	108120000030800	14	Y	153	165	10.29746615	5	2009	2018
S484	Female	101090000020300	9	N	153	157	10.29746615	5	2001	2005
S593	Female	101080000111200	21	N	153	166	10.29746615	7	1995	2011
S69	Female	111000000080900	21.3	Y	153	165	10.29746615	10.3	2007	2018
S704	Female	102120000081000	19	N	153	169	10.29746615	17	2003	2015
S830	Female	109120000021200	16.3	N	153	161.5	10.29746615	10.3	2010	2016
S882	Female	101030900080000	9.5	N	153	153	10.29746615	9.5	2012	2012
S907	Female	101080000010200	10.6	N	153	153	10.29746615	10.6	2000	2000
S94	Female	108100000011000	14	Y	153	164.77	10.29746615	6	2009	2017
S21	Female	101031100110000	11	Y	153.5	159	10.40245519	7	2014	2018
S2044	Female	402030000120000	9.8	N	153.8	155.78	10.46625154	7.8	2014	2016
S1067	Female	108120000021200	7	N	154	156	10.50912414	6	2009	2010
S1172	Female	101030000030000	17.5	N	154	166	10.5	10.5	1995	2002
S1321	Female	108120000081000	9.1	N	154	162	10.50912414	8.1	2010	2011
S2029	Female	101030900110000	22	Y	154	158.95	10.50912414	17.1	2012	2017
S2143	Female	110120000120000	29.5	Y	154	171	10.50912414	10.6	1999	2018
S492	Female	103100000110000	26	N	154	163	10.50912414	13.1	1996	2009
S590	Female	101080000010900	10	N	154	167	10.50912414	5	2000	2005
S720	Female	101110000080910	28	Y	154	165	10.50912414	6	1995	2018
S741	Female	101110000010300	21.5	N	154	171	10.50912414	10.6	2002	2013
S852	Female	110110000011200	16.5	Y	154	166.25	10.50912414	10.6	2011	2017
S876	Male	201120000080000	19.5	N	154	155	11.52851672	11.6	2000	2008
S891	Female	112000000020900	13.5	N	154	161	10.50912414	10.6	2009	2012
S942	Female	112000000011200	16.5	N	154	165	10.50912414	10.6	2009	2015
S946	Female	111120000101200	12.5	N	154	161.5	10.50912414	10.6	2011	2013
S95	Female	108100000011200	17.5	N	154	166.2	10.50912414	10.6	2009	2016
S950	Female	110000000030800	10	N	154	167	10.50912414	6	2006	2010
S1396	Male	209100000101100	12.7	Y	154.2	154.1	11.6589073	11.7	2015	2016
S81	Female	103111200100000	10.6	N	154.3	154.3	10.57395447	10.6	2014	2014
S1403	Female	101000000091000	15.7	N	155	169	10.72772296	10.8	2004	2009
S1407	Female	110000000020800	13.6	N	155	163	10.72772296	10.7	2006	2009
S1466	Female	110110000031100	15.7	N	155	163	10.72772296	10.8	2011	2016
S2108	Female	109100000031200	19.7	Y	155	160	10.72772296	10.8	2009	2018
S29	Female	101081000110000	4	N	155	151	10.72772296	3	2013	2014
S499	Female	101020300010000	8	N	155	NA	10.72772296	7	2011	2012
S757	Female	109100000030000	25.8	N	155	167.67	10.72772296	7.8	1997	2015
S872	Female	108110000021200	18.1	Y	155	161	10.72772296	8.2	2008	2018
S2078	Female	102031000090000	13.8	Y	155.21	157	10.77455372	10.8	2015	2018
S718	Female	101101100020000	8.9	N	155.6	155	10.86240767	8.9	2013	2013
S1253	Female	102120000081100	11	N	156	156	10.9537333	11	2003	2003
S1261	Female	110120000010000	11	N	156	156	10.9537333	11	1999	1999
S1320	Female	108120000031100	13	N	156	160	10.9537333	11	2009	2011
S1361	Female	103120000110000	27	N	156	164	10.9537333	11	1996	2012
S1388	Female	108110000080911	16	Y	156	NA	10.9537333	11	2012	2017
S1391	Female	109110000021012	11	N	156	171.1	10.9537333	6	2010	2015
S1445	Female	101030900030000	10	N	156	162.6	10.9537333	6	2012	2016
S44	Female	101120000120000	19	N	156	165	10.9537333	7.7	1995	2006
S491	Female	101080000020900	21.6	N	156	170	10.9537333	11.6	2000	2010
S58	Female	102030800100000	11	N	156	156	10.9537333	11	2014	2014
S598	Female	101100000010200	17	N	156	158	10.9537333	11	2001	2007
S623	Female	102120000030900	7	N	156	156	10.9537333	7	2003	2003
S77	Female	103100000010200	12	N	156	172	10.9537333	9	2007	2014
S875	Female	110000000100000	15	N	156	154.8	10.9537333	11	2012	2016
S894	Female	101100000081100	17.5	N	156	162	10.9537333	7.5	2002	2012
S914	Female	402110000120000	11	N	156	156	10.9537333	11	2002	2002
S695	Female	101091200080000	9	Y	156.9	164	11.16390832	4	2013	2018
S1249	Female	102110000021200	11.2	N	157	157	11.18767543	11.2	2003	2003
S1354	Female	101080900110000	12.2	N	157	162	11.18767543	11.2	2012	2013
S728	Female	102081000091100	15.2	N	157	161	11.18767543	11.2	2009	2013
S754	Female	108090000100000	33.2	Y	157	181	11.18767543	11.2	1996	2018
S816	Female	111000000111200	20	Y	157	160.03	11.18767543	10	2007	2017
S920	Female	101080000020300	14.2	N	157	158	11.18767543	11.2	2000	2003
S957	Female	109100000080000	31.2	Y	157	173.5	11.18767543	11.2	1997	2017
S2098	Female	401031200021200	22	Y	157.2	157	11.23546536	19	2015	2018
S1236	Female	102090000020800	11.4	N	158	158	11.43012639	11.5	2003	2003
S1239	Female	102090000021200	11.4	N	158	158	11.43012639	11.5	2003	2003
S129	Female	110000000120000	24.4	Y	158	173	11.43012639	11.5	2005	2018
S1322	Female	109120000010800	14.4	N	158	157	11.43012639	11.5	2008	2011
S1452	Female	102030000091200	20.4	N	158	NA	11.43012639	11.5	2002	2011
S2013	Female	112000000010800	19.4	Y	158	158.64	11.43012639	11.5	2009	2017
S2055	Male	209000000080900	19.8	Y	158	158.64	15.75394859	15.8	2013	2017
S24	Female	101031200080000	17.4	Y	158	161	11.43012639	11.5	2012	2018
S612	Female	111120000020000	14.4	N	158	164	11.43012639	11.5	1999	2002
S633	Female	101091200030000	9.9	N	158	154	11.43012639	8.9	2013	2014
S717	Female	101091100090000	14	Y	158	164	11.43012639	9	2013	2018
S910	Female	103090000110000	18.4	N	158	162	11.43012639	11.5	1996	2003
S2031	Female	102091200080000	12.5	Y	158.21	160.59	11.48218094	11.5	2016	2017
S126	Female	110000000080000	17.5	N	158.3	155.6	11.50461506	11.6	2008	2014
S1220	Female	101110000020809	11.7	N	159	159	11.68172858	11.7	2007	2007
S1319	Female	102000000020900	17.7	N	159	160	11.68172858	11.7	2005	2011
S1325	Female	110110000101200	13.7	N	159	161.59	11.68172858	11.7	2011	2013
S133	Female	111120000091100	18.7	Y	159	169	11.68172858	11.7	2011	2018
S2118	Female	101081200010000	15.7	N	159	160.58	11.68172858	11.7	2012	2016
S27	Female	101080900010000	13.7	N	159	164	11.68172858	11.7	2012	2014
S587	Female	112000000100000	34.7	Y	159	152	11.68172858	11.7	1995	2018
S592	Female	101080000101100	8	N	159	165	11.68172858	5	2001	2004
S599	Female	101100000020300	11.7	N	159	159	11.68172858	11.7	2001	2001
S617	Female	102090000031000	17.7	N	159	162	11.68172858	11.7	2003	2009
S732	Female	103080000100000	12.1	N	159	159	11.68172858	12.2	2012	2012
S784	Female	108000000010800	22.7	N	159	168.35	11.68172858	11.7	2005	2016
S904	Female	101000000010900	19.7	N	159	160.87	11.68172858	11.7	2000	2008
S940	Female	101080000031200	10	N	159	161	11.68172858	5	2001	2006
S2124	Female	102081100100000	13.7	Y	159.09	163	11.70484554	11.8	2016	2018
S1366	Female	101030900120000	11.7	N	159.12	154.94	11.71256904	11.8	2013	2013
S2141	Female	108091000020000	12.8	Y	159.5	160	11.81118249	11.9	2017	2018
S880	Female	109000000100000	19.8	N	159.5	NA	11.81118249	11.9	2008	2016
S14	Female	401031000090000	11.9	N	159.8	159.8	11.89007887	11.9	2014	2014
S1238	Female	102090000021100	11.9	N	160	160	11.9432	12	2003	2003
S1450	Female	103090000081200	17.9	N	160	171.58	11.9432	12	2009	2015
S2110	Female	101081000020000	15.9	N	160	164.57	11.9432	12	2012	2016
S681	Female	101030800080000	13	Y	160	168.22	11.9432	7	2011	2017
S713	Female	401030900090000	11.9	N	160	160	11.9432	12	2013	2013
S799	Female	110120000091100	14	Y	160	167.97	11.9432	8	2011	2017
S96	Female	108100000030800	20.9	Y	160	178	11.9432	12	2009	2018
S960	Female	110110000020000	13.9	N	160	165	11.9432	12	1998	2000
S1264	Female	112000000020300	12.2	N	161	161	12.21534663	12.3	2007	2007
S608	Female	110120000020000	17.2	N	161	169	12.21534663	12.3	1999	2004
S722	Female	102000000031200	18.2	N	161	163	12.21534663	12.3	2006	2012
S82	Female	112000000021000	21.2	Y	161	170	12.21534663	12.3	2009	2018
S877	Female	101080000090000	23.2	N	161	167	12.21534663	12.3	1995	2006
S123	Female	109120000030900	13.3	N	161.4	162	12.32739409	12.4	2013	2014
S2096	Female	108101200090000	14.3	Y	161.46	166	12.34436482	12.4	2016	2018
S1464	Female	109000000080900	20.5	N	162	167	12.49907739	12.5	2005	2013
S39	Female	101111200010000	16.5	Y	162	163.24	12.49907739	12.5	2013	2017
S796	Female	110120000030800	14.5	N	162	164.8	12.49907739	12.5	2011	2013
S956	Female	110000000080900	15.5	N	162	162.8	12.49907739	12.5	2005	2008
S2079	Female	102091000110000	14.5	Y	162.17	158	12.54853576	12.6	2016	2018
S2083	Female	102080000010308	12.6	N	162.44	161.5	12.62784932	12.7	2016	2016
S1217	Female	101000000021100	12.6	N	162.5	162.5	12.64560344	12.7	2004	2004
S1224	Female	101120000021100	13.8	N	163	163	12.79542248	12.8	2002	2003
S127	Female	101100000101100	26.8	N	163	173.7	12.79542248	12.8	2001	2015
S1352	Female	101031200100000	12.8	N	163	163	12.79542248	12.8	2012	2012
S901	Female	101080900021100	22.8	N	163	170	12.79542248	12.8	2000	2010
S63	Female	102030900120000	13.1	N	164	164	13.10555592	13.2	2014	2014
S648	Female	108120000011200	20.1	N	164	171.77	13.10555592	13.2	2009	2016
S726	Female	102080000011000	19	N	164	177.96	13.10555592	5	2002	2016
S965	Female	102080000020300	13.1	N	164	164	13.10555592	13.2	2002	2002
S1404	Female	101100000020800	15.4	N	165	172	13.43082368	13.5	2001	2003
S2145	Female	111120000080000	32.4	Y	165	169	13.43082368	13.5	1999	2018
S604	Female	101110000020800	16.4	N	165	168	13.43082368	13.5	2002	2005
S888	Female	109100000110000	19.4	N	165	178	13.43082368	13.5	1997	2003
S2009	Female	101020000030800	31.8	Y	166	188.31	13.77277897	13.8	1999	2017
S886	Female	108100000100000	21.8	N	166	169	13.77277897	13.8	1997	2005
S912	Female	101100000010000	20.8	N	166	167	13.77277897	13.8	1995	2002
S2104	Female	102081100080000	15.9	Y	166.44	173	13.92898065	14	2016	2018
S1213	Female	110110000100000	9	N	167	NA	14.13322711	8	1998	1999
S1278	Female	101030000030800	23.1	N	167	168	14.13322711	14.2	2000	2009
S1375	Female	109101112110000	14.1	N	167	NA	14.13322711	14.2	2013	2013
S2097	Female	109000000110000	31.1	Y	167	172	14.13322711	14.2	2001	2018
S585	Female	101030000030900	16.1	N	167	171	14.13322711	14.2	2000	2002
S613	Female	102030000091100	14.1	N	167	167	14.13322711	14.2	2002	2002
S614	Female	102080000010000	21.1	N	167	171	14.13322711	14.2	1995	2002
S616	Female	101020000011000	22.1	N	167	170	14.13322711	14.2	1999	2007
S881	Female	111000000110000	24.1	N	167	167	14.13322711	14.2	1995	2005
S933	Female	108100000090000	27.1	N	167	170	14.13322711	14.2	1997	2010
S1356	Female	102110000010200	23.5	N	168	171	14.51428321	14.6	2003	2012
S1448	Female	102090000020300	26.5	N	168	172.52	14.51428321	14.6	2003	2015
S583	Female	101020000030900	26.5	N	168	173	14.51428321	14.6	1999	2011
S62	Female	102030900110000	14.5	N	168	168	14.51428321	14.6	2014	2014
S33	Female	401100000020000	14.8	N	168.7	168.7	14.79460478	14.8	2014	2014
S15	Female	401031000100000	15.8	N	168.8	170.5	14.83563055	14.9	2014	2015
S1226	Female	102080000021200	14.9	N	169	169	14.91844735	15	2003	2003
S1405	Female	103000000091200	19.9	N	169	178	14.91844735	15	2004	2009
S622	Female	102110000090000	19.9	N	169	172	14.91844735	15	1995	2000
S959	Female	101020000010210	41.9	Y	169	179.12	14.91844735	15	1990	2017
S1209	Female	101020000031000	27.3	N	170	180	15.34870416	15.4	2000	2012
S1300	Female	402080000010200	15.3	N	170	170	15.34870416	15.4	2001	2001
S161	Female	109000000090000	29.3	N	170	173	15.34870416	15.4	1993	2007
S2059	Female	101080000020000	29	Y	170	169.69	15.34870416	8	1995	2017
S23	Female	401031200020000	17.3	N	170	173.55	15.34870416	15.4	2014	2016
S2041	Female	102091200090000	16.8	Y	170.98	172.76	15.79913962	15.8	2016	2017
